Date;Temp;Plus
06.06.2022;17,5;0
07.06.2022;18,25;0
08.06.2022;19;0
09.06.2022;19,75;0
10.06.2022;21,75;0
11.06.2022;22;0
12.06.2022;22,25;0
13.06.2022;22,5;0
14.06.2022;20,5;0
15.06.2022;21,5;0
16.06.2022;20,5;0
17.06.2022;19,75;0
18.06.2022;19;0
19.06.2022;17,75;0
20.06.2022;16;0
21.06.2022;16,75;0
22.06.2022;16,75;0
23.06.2022;16,75;0
24.06.2022;17,5;0
25.06.2022;16,75;0
26.06.2022;15,75;0
27.06.2022;16;0
28.06.2022;16,5;0
29.06.2022;17,5;0
30.06.2022;16,25;0
01.07.2022;18;0
02.07.2022;19,75;0
03.07.2022;20,25;0
04.07.2022;19,75;0
05.07.2022;21;0
06.07.2022;22,5;0
07.07.2022;25,75;0
08.07.2022;27;0
09.07.2022;26,75;0
10.07.2022;23,25;0
11.07.2022;20,25;0
12.07.2022;27;0
13.07.2022;27,75;0
14.07.2022;27,75;0
15.07.2022;23,25;0
16.07.2022;21,5;0
17.07.2022;21,75;0
18.07.2022;20,75;0
19.07.2022;20;0
20.07.2022;20,25;0
21.07.2022;20,5;0
22.07.2022;20,75;0
23.07.2022;21,25;0
24.07.2022;20;0
25.07.2022;19,75;0
26.07.2022;20;0
27.07.2022;19;0
28.07.2022;19,5;0
29.07.2022;20,75;0
30.07.2022;25;0
31.07.2022;25,5;0
01.08.2022;23,75;0
02.08.2022;22;0
03.08.2022;20,5;0
04.08.2022;20,5;0
05.08.2022;20,5;0
06.08.2022;20,25;0
07.08.2022;19,75;0
08.08.2022;19,5;0
09.08.2022;20,75;0
10.08.2022;20,5;0
11.08.2022;20;0
12.08.2022;20,25;0
13.08.2022;19,5;0
14.08.2022;19,25;0
15.08.2022;19;0
16.08.2022;18,75;0
17.08.2022;18,5;0
18.08.2022;19;0
19.08.2022;23;0
20.08.2022;22,5;0
21.08.2022;19,5;0
22.08.2022;21,5;0
23.08.2022;23,75;0
24.08.2022;19,5;0
25.08.2022;20,75;0
26.08.2022;20,75;0
27.08.2022;19,75;0
28.08.2022;19,25;0
29.08.2022;18,75;0
30.08.2022;19,5;0
31.08.2022;19,5;0
01.09.2022;19,5;0
02.09.2022;19;0
03.09.2022;18,25;0
04.09.2022;19;0
05.09.2022;19,25;0
06.09.2022;19,25;0
07.09.2022;18,25;0
08.09.2022;19,75;0
09.09.2022;20,5;0
10.09.2022;21;0
11.09.2022;21,5;0
12.09.2022;20,75;0
13.09.2022;20,25;0
14.09.2022;20;0
15.09.2022;19,75;0
16.09.2022;20,75;0
17.09.2022;22,25;0
18.09.2022;24;0
19.09.2022;23,5;0
20.09.2022;23,5;0
21.09.2022;22,25;0
22.09.2022;21,25;0
23.09.2022;19,5;0
24.09.2022;18,75;0
25.09.2022;17,5;0
26.09.2022;18;0
27.09.2022;17,25;0
28.09.2022;17,5;0
29.09.2022;17,5;0
30.09.2022;16;0
01.10.2022;17,75;0
02.10.2022;20;0
03.10.2022;21,5;0
04.10.2022;19,75;0
05.10.2022;18,5;0
06.10.2022;20,5;0
07.10.2022;20,5;0
08.10.2022;20,5;0
09.10.2022;18,25;0
10.10.2022;18;0
11.10.2022;19,25;0
12.10.2022;19,5;0
13.10.2022;18,5;0
14.10.2022;18,75;0
15.10.2022;18,25;0
16.10.2022;19,25;0
17.10.2022;19,25;0
18.10.2022;20,25;0
19.10.2022;17,5;0
20.10.2022;16,5;0
21.10.2022;16,5;0
22.10.2022;16,5;0
23.10.2022;16,5;0
24.10.2022;16;0
25.10.2022;17,25;0
26.10.2022;18,75;0
27.10.2022;19,25;0
28.10.2022;18,25;0
29.10.2022;17,25;0,25
30.10.2022;16,25;0
31.10.2022;16;0
01.11.2022;15;0
02.11.2022;14,25;0
03.11.2022;15;0
04.11.2022;13;0
05.11.2022;13,5;0
06.11.2022;14,75;0
07.11.2022;15,75;0
08.11.2022;16,25;0
09.11.2022;15,75;0
10.11.2022;16,5;0
11.11.2022;16,75;0
12.11.2022;16,25;0
13.11.2022;16,75;0
14.11.2022;15,25;0
15.11.2022;16;0
16.11.2022;15,75;0
17.11.2022;16;0
18.11.2022;13;0
19.11.2022;12,25;0
20.11.2022;15,5;0
21.11.2022;15,75;0
22.11.2022;14,75;0
23.11.2022;16;0
24.11.2022;14,75;0
25.11.2022;14;0
26.11.2022;13,25;0
27.11.2022;12,5;0
28.11.2022;12,5;0
29.11.2022;12,25;0
30.11.2022;11,25;0
01.12.2022;11,75;0
02.12.2022;10,5;0
03.12.2022;9,75;0
04.12.2022;11,75;0
05.12.2022;10,75;0
06.12.2022;12;0
07.12.2022;13,25;0
08.12.2022;13,75;0
09.12.2022;12,5;0
10.12.2022;10,75;0
11.12.2022;10,5;0
12.12.2022;14,75;0
13.12.2022;15,5;0
14.12.2022;14;0
15.12.2022;13,5;0
16.12.2022;11,75;0
17.12.2022;12,5;0
18.12.2022;14,25;0
19.12.2022;15;0
20.12.2022;15,25;0
21.12.2022;15,75;0
22.12.2022;15,5;0
23.12.2022;14,75;0
24.12.2022;15,25;0
25.12.2022;14,25;0
26.12.2022;13,25;0
27.12.2022;13,5;0
28.12.2022;13,25;0
29.12.2022;14,5;0
30.12.2022;16;0
31.12.2022;15,25;0
01.01.2023;14;0
02.01.2023;12;0
03.01.2023;10,25;0
04.01.2023;11,25;0
05.01.2023;11,25;0
06.01.2023;11;0
07.01.2023;13,25;0
08.01.2023;14,5;0
09.01.2023;13;0
10.01.2023;12,25;0
11.01.2023;13,25;0
12.01.2023;10,75;0
13.01.2023;12,25;0
14.01.2023;13,5;0
15.01.2023;3,5;0
17.01.2023;2,5;0
18.01.2023;9;0
19.01.2023;10,5;0
20.01.2023;13,5;0
21.01.2023;13,5;0
22.01.2023;9,75;0
23.01.2023;8,5;0
24.01.2023;7,75;0
25.01.2023;7,75;0
26.01.2023;7,75;0
27.01.2023;8;0
28.01.2023;7,5;0
29.01.2023;7,75;0
30.01.2023;7,5;0
31.01.2023;7,75;0
01.02.2023;9;0
02.02.2023;10,25;0
03.02.2023;10,5;0
04.02.2023;11;0
05.02.2023;12;0
06.02.2023;11,25;0
07.02.2023;10;0
08.02.2023;10,5;0
09.02.2023;11,5;0
10.02.2023;10,25;0
11.02.2023;9,75;0
12.02.2023;10,25;0
13.02.2023;13;0
14.02.2023;13,75;0
15.02.2023;14;0
16.02.2023;14;0
17.02.2023;14,5;0
18.02.2023;13,75;0
19.02.2023;15,5;0
20.02.2023;14,5;0
21.02.2023;13;0
22.02.2023;12,5;0
23.02.2023;9,25;0
24.02.2023;7,75;0
25.02.2023;8,25;0
26.02.2023;10,75;0
27.02.2023;9,5;0
28.02.2023;8,75;0
01.03.2023;7,75;0
02.03.2023;8,5;0
03.03.2023;9,25;0
04.03.2023;10,5;0
05.03.2023;10,25;0
06.03.2023;12;0
07.03.2023;13,5;0
08.03.2023;14,25;0
09.03.2023;14;0
10.03.2023;14;0
11.03.2023;14,75;0
12.03.2023;14,75;0
13.03.2023;13,5;0
14.03.2023;13;0
15.03.2023;13;0
16.03.2023;13,5;0
17.03.2023;13;0
18.03.2023;12,75;0
19.03.2023;12,5;0
20.03.2023;13,5;0
21.03.2023;13,75;0
22.03.2023;12,75;0
23.03.2023;13,5;0
24.03.2023;14,25;0
25.03.2023;12,75;0
26.03.2023;13,25;0
27.03.2023;13,5;0
28.03.2023;16;0
29.03.2023;16,5;0
30.03.2023;15;0
31.03.2023;15,25;0
01.04.2023;13,25;0
02.04.2023;12,75;0
03.04.2023;14,25;0
04.04.2023;17,25;0
05.04.2023;16,25;0
06.04.2023;17,5;0
07.04.2023;17,5;0
08.04.2023;17,25;0
09.04.2023;15,75;0
10.04.2023;14,75;0
11.04.2023;14,75;0
12.04.2023;13;0
13.04.2023;13;0
14.04.2023;13,75;0
15.04.2023;14,5;0
16.04.2023;17,25;0
17.04.2023;19,5;0
18.04.2023;19,25;0
19.04.2023;17;0
20.04.2023;14,75;0
21.04.2023;13;0
22.04.2023;14;0
23.04.2023;15,25;0
24.04.2023;16,5;0
25.04.2023;17;0
26.04.2023;17,5;0
27.04.2023;19;0
28.04.2023;17,5;0
29.04.2023;17,75;0
30.04.2023;17,5;0
01.05.2023;17,25;0
02.05.2023;20;0
03.05.2023;18,5;0
04.05.2023;16,25;0
05.05.2023;16,25;0
